人民币: 余额:11098303.33  可用:10824383.05  可取:3498446.98  参考市值:19000929.28  盈亏:592079.92  资产:29826093.94 
-------------------------------------------------------------------------------------------------------

证券代码        证券名称        参考持股        可用股份        成本价        当前价         最新市值           浮动盈亏         盈亏比例(%)        冻结数量        股东代码          
511990          华宝添益        100097          100097          99.866        99.974         10007097.48        10810.48         0.11               0               E055028231        
600498          烽火通信        30000           0               30.243        29.130         873900.00          -33399.42        -3.68              0               E055028231        
600584          长电科技        0               0               0.000         30.460         0.00               -1522.08         -100.00            0               E055028231        
601236          红塔证券        30000           30000           20.562        21.260         637800.00          20940.00         3.39               0               E055028231        
603005          晶方科技        0               0               0.000         70.880         0.00               -6656.39         -100.00            0               E055028231        
603799          华友钴业        10000           10000           35.073        38.840         388400.00          37670.00         10.74              0               E055028231        
688157          松井股份        20048           17548           79.127        110.350        2212296.80         625952.79        39.46              0               E055028231        
000063          中兴通讯        60000           0               41.619        40.000         2400000.00         -97156.02        -3.89              0               0680037397        
002156          通富微电        0               0               0.000         23.900         0.00               16752.58         -100.00            0               0680037397        
002385          大北农          39700           0               9.555         9.120          362064.00          -17281.13        -4.56              0               0680037397        
300236          上海新阳        24900           24900           60.536        61.990         1543551.00         36204.60         2.40               0               0680037397        
002603          以岭药业        18000           0               32.003        31.990         575820.00          -235.49          -0.04              0               0680037397        
