标题：信用资产
营业部名称：华泰证券(19)
股东：鸣石新动力傲华四号

------------------------------
担保资产:32645140.43 	 融资合约金额:0.00 	 现金资产:1422787.24
融资限额:36200000.00 	 合约负债总额:663725.34 	 融券合约金额:0.00
可取金额:1422787.24 	 融券限额:36200000.00 	 净资产:31981415.09
融资合约利息:0.00 	 可用还款金额:1422787.24 	 融资额度:36200000.00
维持担保比例:49.1847 	 融券合约利息:0.00 	 可买券还券资金:1422787.24
融券额度:36200000.00 	 科创板集中度:0.000000 	 可用保证金:20209209.27
合约费用:0.00 	 可买担保品资金:1422787.24 	 融资合约盈亏:0.00
可转出资产:30653964.41 	 其他费用:0.00 	 信用买标的资金:1422787.24
融券合约盈亏:0.00 	 待还款总额:0.00 	 币种名称:人民币

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比例()	盈亏(约)	市值(约)	交易市场	股东帐户	在途数量	货币单位	
511990	华宝添益	15	15	0	-19070.546	0.000	99.952	0.00	287557.470	1499.280	上海Ａ	E054038178	0	人民币	
600132	重庆啤酒	2000	2000	0	55.485	55.549	70.200	26.38	29268.540	140400.000	上海Ａ	E054038178	0	人民币	
600161	天坛生物	4000	4000	0	43.787	43.837	42.820	-2.32	-4064.972	171280.000	上海Ａ	E054038178	0	人民币	
600271	航天信息	34000	32200	0	18.019	18.040	19.080	5.77	35327.972	648720.000	上海Ａ	E054038178	1800	人民币	
600380	健康元	35900	35900	0	16.319	16.338	15.380	-5.86	-34345.063	552142.000	上海Ａ	E054038178	0	人民币	
600521	华海药业	26300	26300	0	32.571	32.608	33.140	1.63	13962.381	871582.000	上海Ａ	E054038178	0	人民币	
600529	山东药玻	12500	12500	0	55.987	56.051	54.820	-2.20	-15375.538	685250.000	上海Ａ	E054038178	0	人民币	
600535	天士力	44000	44000	0	17.545	17.565	17.350	-1.23	-9457.910	763400.000	上海Ａ	E054038178	0	人民币	
600552	凯盛科技	98100	0	0	6.380	6.387	6.800	6.46	40434.858	667080.000	上海Ａ	E054038178	98100	人民币	
600642	申能股份	300	300	0	29.450	29.497	6.010	-79.67	-7038.839	1803.000	上海Ａ	E054038178	0	人民币	
600645	中源协和	23400	23400	0	27.876	27.908	27.440	-1.68	-10940.810	642096.000	上海Ａ	E054038178	0	人民币	
600850	华东电脑	27600	27600	0	24.544	24.572	25.880	5.32	36052.169	714288.000	上海Ａ	E054038178	0	人民币	
600858	银座股份	39205	0	0	6.059	6.066	6.160	1.55	3681.977	241502.800	上海Ａ	E054038178	39205	人民币	
600867	通化东宝	38800	38800	0	17.618	17.638	16.730	-5.15	-35200.893	649124.000	上海Ａ	E054038178	0	人民币	
601028	玉龙股份	800	800	0	-135.035	0.000	12.090	0.00	117685.135	9672.000	上海Ａ	E054038178	0	人民币	
601989	中国重工	147100	0	0	4.291	4.296	4.450	3.59	22636.116	654595.000	上海Ａ	E054038178	147100	人民币	
603040	新坐标	3300	3300	0	27.618	27.650	29.400	6.33	5769.027	97020.000	上海Ａ	E054038178	0	人民币	
603060	国检集团	7100	7100	0	18.695	18.717	19.750	5.52	7329.241	140225.000	上海Ａ	E054038178	0	人民币	
603223	恒通股份	4100	0	0	13.498	13.514	13.210	-2.25	-1243.085	54161.000	上海Ａ	E054038178	4100	人民币	
603297	永新光学	7800	7800	0	45.409	45.461	44.520	-2.07	-7333.544	347256.000	上海Ａ	E054038178	0	人民币	
603337	杰克股份	4500	4500	0	22.062	22.087	21.940	-0.67	-662.539	98730.000	上海Ａ	E054038178	0	人民币	
603338	浙江鼎力	200	200	0	88.842	88.958	74.290	-16.49	-2930.555	14858.000	上海Ａ	E054038178	0	人民币	
603444	吉比特	1300	1300	0	532.269	532.882	535.560	0.50	3477.638	696228.000	上海Ａ	E054038178	0	人民币	
603466	风语筑	34700	34700	0	19.540	19.562	20.310	3.82	25908.529	704757.000	上海Ａ	E054038178	0	人民币	
603507	振江股份	6400	0	0	24.940	24.969	25.860	3.57	5697.670	165504.000	上海Ａ	E054038178	6400	人民币	
603520	司太立	9400	9400	0	76.775	76.863	74.700	-2.81	-20312.507	702180.000	上海Ａ	E054038178	0	人民币	
603535	嘉诚国际	13100	13100	0	19.614	19.637	20.670	5.26	13522.206	270777.000	上海Ａ	E054038178	0	人民币	
603583	捷昌驱动	3800	3800	0	66.345	66.421	68.510	3.14	7927.611	260338.000	上海Ａ	E054038178	0	人民币	
603605	珀莱雅	2100	2100	0	148.182	148.353	165.200	11.36	35338.842	346920.000	上海Ａ	E054038178	0	人民币	
603661	恒林股份	3000	3000	0	52.659	52.720	50.410	-4.38	-6920.915	151230.000	上海Ａ	E054038178	0	人民币	
603707	健友股份	2900	2900	0	60.815	60.885	59.910	-1.60	-2824.300	173739.000	上海Ａ	E054038178	0	人民币	
603713	密尔克卫	2100	2100	0	103.543	103.662	96.000	-7.39	-16072.140	201600.000	上海Ａ	E054038178	0	人民币	
603737	三棵树	8180	8180	0	81.820	81.914	93.900	14.63	97931.083	768102.000	上海Ａ	E054038178	0	人民币	
603768	常青股份	3700	3700	0	13.563	13.579	15.260	12.38	6213.969	56462.000	上海Ａ	E054038178	0	人民币	
603806	福斯特	15673	15673	0	49.042	49.098	50.120	2.08	15992.134	785530.760	上海Ａ	E054038178	0	人民币	
603810	丰山集团	4900	4900	0	45.367	45.419	46.950	3.37	7492.137	230055.000	上海Ａ	E054038178	0	人民币	
603811	诚意药业	21900	8400	0	28.525	28.558	28.710	0.53	3328.439	628749.000	上海Ａ	E054038178	13500	人民币	
603818	曲美家居	22800	22800	0	9.047	9.057	9.110	0.58	1197.536	207708.000	上海Ａ	E054038178	0	人民币	
603987	康德莱	2800	2800	0	14.086	14.102	16.620	17.85	7041.684	46536.000	上海Ａ	E054038178	0	人民币	
603993	洛阳钼业	151741	0	0	4.162	4.167	4.350	4.40	27768.224	660073.350	上海Ａ	E054038178	151741	人民币	
000157	中联重科	97200	97200	0	6.953	6.961	7.370	5.88	39708.581	716364.000	深圳Ａ	0680034799	0	人民币	
000403	双林生物	4500	4500	0	74.222	74.307	69.680	-6.23	-20799.594	313560.000	深圳Ａ	0680034799	0	人民币	
000625	长安汽车	60300	60300	0	10.989	11.002	12.550	14.07	93258.020	756765.000	深圳Ａ	0680034799	0	人民币	
000920	南方汇通	4100	0	0	7.545	7.554	7.560	0.08	24.884	30996.000	深圳Ａ	0680034799	4100	人民币	
002092	中泰化学	105900	0	0	5.314	5.320	5.400	1.50	8449.761	571860.000	深圳Ａ	0680034799	105900	人民币	
002124	天邦股份	0	0	0	13.078	13.078	15.190	0.00	90141.980	0.000	深圳Ａ	0680034799	0	人民币	
002198	嘉应制药	92800	55100	0	5.827	5.834	5.870	0.62	3363.954	544736.000	深圳Ａ	0680034799	37700	人民币	
002294	信立泰	22400	22400	0	27.999	28.031	28.840	2.88	18095.482	646016.000	深圳Ａ	0680034799	0	人民币	
002317	众生药业	41400	37600	0	17.505	17.525	17.250	-1.57	-11378.272	714150.000	深圳Ａ	0680034799	3800	人民币	
002381	双箭股份	21300	21300	0	9.442	9.453	9.780	3.46	6959.839	208314.000	深圳Ａ	0680034799	0	人民币	
002422	科伦药业	30400	30400	0	22.398	22.424	22.470	0.21	1403.249	683088.000	深圳Ａ	0680034799	0	人民币	
002459	晶澳科技	27300	27300	0	18.263	18.284	18.990	3.86	19250.909	518427.000	深圳Ａ	0680034799	0	人民币	
002555	三七互娱	15300	15300	0	44.543	44.594	44.610	0.04	240.187	682533.000	深圳Ａ	0680034799	0	人民币	
002602	世纪华通	0	0	0	15.493	15.493	16.100	0.00	-4571.090	0.000	深圳Ａ	0680034799	0	人民币	
002659	凯文教育	65900	0	0	6.376	6.383	6.400	0.26	1096.576	421760.000	深圳Ａ	0680034799	65900	人民币	
002690	美亚光电	10200	10200	0	53.287	53.348	51.330	-3.78	-20563.501	523566.000	深圳Ａ	0680034799	0	人民币	
002701	奥瑞金	108100	0	0	4.699	4.704	4.790	1.82	9241.631	517799.000	深圳Ａ	0680034799	108100	人民币	
002705	新宝股份	9200	9200	0	36.303	36.345	34.020	-6.40	-21363.532	312984.000	深圳Ａ	0680034799	0	人民币	
002791	坚朗五金	600	600	0	34.678	34.722	80.790	132.70	27611.455	48474.000	深圳Ａ	0680034799	0	人民币	
002832	比音勒芬	15300	15300	0	17.164	17.184	16.910	-1.59	-4183.731	258723.000	深圳Ａ	0680034799	0	人民币	
082444	巨星配债	0	534	0	0.000	0.000	100.000	0.00	0.000	0.000	深圳Ａ	0680034799	0	人民币	
300015	爱尔眼科	15700	15700	0	43.031	43.081	43.500	0.97	6577.908	682950.000	深圳Ａ	0680034799	0	人民币	
300113	顺网科技	900	900	0	47.114	47.168	25.820	-45.26	-19193.303	23238.000	深圳Ａ	0680034799	0	人民币	
300125	聆达股份	0	0	0	14.774	14.774	15.480	0.00	6056.490	0.000	深圳Ａ	0680034799	0	人民币	
300220	金运激光	0	0	0	36.183	36.183	36.320	0.00	3469.780	0.000	深圳Ａ	0680034799	0	人民币	
300243	瑞丰高材	12700	0	0	9.247	9.258	9.530	2.94	3454.914	121031.000	深圳Ａ	0680034799	12700	人民币	
300244	迪安诊断	23700	23700	0	33.924	33.963	33.640	-0.95	-7647.658	797268.000	深圳Ａ	0680034799	0	人民币	
300257	开山股份	300	300	0	13.232	13.262	14.200	7.08	281.055	4260.000	深圳Ａ	0680034799	0	人民币	
300274	阳光电源	56200	56200	0	14.380	14.397	15.180	5.44	43978.917	853116.000	深圳Ａ	0680034799	0	人民币	
300298	三诺生物	7600	7600	0	27.884	27.916	31.810	13.95	29559.581	241756.000	深圳Ａ	0680034799	0	人民币	
300363	博腾股份	13100	13100	0	34.070	34.109	35.250	3.34	14926.959	461775.000	深圳Ａ	0680034799	0	人民币	
300413	芒果超媒	8800	8800	0	62.126	62.198	60.570	-2.62	-14305.768	533016.000	深圳Ａ	0680034799	0	人民币	
300489	中飞股份	300	300	0	65.095	65.178	34.600	-46.93	-9164.088	10380.000	深圳Ａ	0680034799	0	人民币	
300523	辰安科技	3200	3200	0	48.149	48.204	48.400	0.41	625.088	154880.000	深圳Ａ	0680034799	0	人民币	
300572	安车检测	10900	10900	0	57.927	57.994	67.840	16.98	107201.326	739456.000	深圳Ａ	0680034799	0	人民币	
300575	中旗股份	15400	15400	0	28.189	28.221	40.930	45.03	195486.530	630322.000	深圳Ａ	0680034799	0	人民币	
300653	正海生物	5200	5200	0	76.268	76.356	74.680	-2.19	-8704.186	388336.000	深圳Ａ	0680034799	0	人民币	
300677	英科医疗	4700	4700	0	123.589	123.731	130.190	5.22	30321.023	611893.000	深圳Ａ	0680034799	0	人民币	
300685	艾德生物	8900	5300	0	69.765	69.845	71.100	1.80	11153.791	632790.000	深圳Ａ	0680034799	3600	人民币	
300696	爱乐达	7600	7600	0	35.028	35.068	35.210	0.40	1075.465	267596.000	深圳Ａ	0680034799	0	人民币	
300725	药石科技	200	200	0	15.969	16.010	120.400	653.03	20856.638	24080.000	深圳Ａ	0680034799	0	人民币	
300729	乐歌股份	6600	6600	0	51.320	51.379	53.170	3.49	11806.440	350922.000	深圳Ａ	0680034799	0	人民币	

------------------------------
保存时间：2020-07-06  16:00:39 
