标题：信用资产
营业部名称：上海交易R13
股东：鸣石量化十

------------------------------
货币单位:人民币 	 信用状态:正常类 	 维持担保比例():199.10000
总资产:63306087.46 	 负债总额:31796700.00 	 资金余额:2088004.000
可用金额:614.400 	 资金可用冻结数:0.00 	 融券卖出资金余额:999890.00
融券卖出资金冻结:0.00 	 担保证券市值:61218083.46 	 应付融资款:0.00
融资息费:0.00 	 融资负债:0.000 	 应付融券市值:31796700.00
融券息费:0.00 	 融券负债:31796700.000 	 保证金可用余额:-2658902.00
融资授信额度:50000000.00 	 融资可用额度:19400630.00 	 融券授信额度:50000000.00
融券可用额度:19400630.00 	 融资利率/年:8.35	 融券利率/年:8.6

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	市价	市值	浮动盈亏	盈亏比例()	交易市场	股东帐户	实际数量	实时余额	
000016	深康佳Ａ	42600	0	42600	6.796	7.020	299052.000	9531.57	3.296	深Ａ	0680039749	42600	42600	
000050	深天马Ａ	41000	0	41000	14.898	14.820	607620.000	-3182.62	-0.524	深Ａ	0680039749	41000	41000	
000100	TCL科技	106600	0	106600	5.721	5.710	608686.000	-1223.47	-0.192	深Ａ	0680039749	106600	106600	
000158	常山北明	30400	0	30400	9.791	10.320	313728.000	16067.36	5.403	深Ａ	0680039749	30400	30400	
000503	国新健康	48600	0	48600	10.838	11.030	536058.000	9352.00	1.772	深Ａ	0680039749	48600	48600	
000518	四环生物	128400	0	128400	4.038	4.050	520020.000	1527.25	0.297	深Ａ	0680039749	128400	128400	
000546	金圆股份	51100	0	51100	10.793	10.600	541660.000	-9838.71	-1.788	深Ａ	0680039749	51100	51100	
000568	泸州老窖	2800	0	2800	85.223	87.480	244944.000	6319.21	2.648	深Ａ	0680039749	2800	2800	
000599	青岛双星	118700	0	118700	4.488	4.370	518719.000	-13980.91	-2.629	深Ａ	0680039749	118700	118700	
000626	远大控股	16800	0	16800	6.146	6.150	103320.000	67.53	0.065	深Ａ	0680039749	16800	16800	
000725	京东方Ａ	143500	0	143500	4.231	4.230	607005.000	-91.05	-0.024	深Ａ	0680039749	143500	143500	
000910	大亚圣象	40800	0	40800	15.879	16.430	670344.000	22478.84	3.470	深Ａ	0680039749	40800	40800	
002107	沃华医药	11900	0	11900	9.178	9.800	116620.000	7405.62	6.777	深Ａ	0680039749	11900	11900	
002201	九鼎新材	37236	0	37236	14.154	14.190	528378.840	1336.05	0.254	深Ａ	0680039749	37236	37236	
002226	江南化工	64200	0	64200	5.295	5.450	349890.000	9961.02	2.927	深Ａ	0680039749	64200	64200	
002308	威创股份	80700	0	80700	6.527	6.400	516480.000	-10245.00	-1.946	深Ａ	0680039749	80700	80700	
002332	仙琚制药	18000	0	18000	15.775	15.410	277380.000	-6572.58	-2.314	深Ａ	0680039749	18000	18000	
002375	亚厦股份	4100	0	4100	10.211	9.800	40180.000	-1685.28	-4.025	深Ａ	0680039749	4100	4100	
002392	北京利尔	4	0	4	-2008.245	4.040	16.160	8049.14	-100.201	深Ａ	0680039749	4	4	
002475	立讯精密	10900	0	10900	47.818	50.700	552630.000	31408.51	6.027	深Ａ	0680039749	10900	10900	
002481	双塔食品	40400	0	40400	15.182	14.740	595496.000	-17863.99	-2.911	深Ａ	0680039749	40400	40400	
002491	通鼎互联	98700	0	98700	5.283	5.240	517188.000	-4265.22	-0.814	深Ａ	0680039749	98700	98700	
002519	银河电子	109600	0	109600	4.336	4.400	482240.000	6961.73	1.476	深Ａ	0680039749	109600	109600	
