标题：信用资产
营业部名称：华泰证券(27)
股东：素养鸣石量化18号

------------------------------
担保资产:113863394.42 	 融资合约金额:0.00 	 现金资产:5606283.91
融资限额:100000000.00 	 合约负债总额:29015467.46 	 融券合约金额:27117532.10
可取金额:4106298.91 	 融券限额:100000000.00 	 净资产:84847926.96
融资合约利息:0.00 	 可用还款金额:4106298.91 	 融资额度:72882467.90
维持担保比例:3.9242 	 融券合约利息:0.00 	 可买券还券资金:5606283.91
融券额度:72882467.90 	 科创板集中度:0.000000 	 可用保证金:43627761.09
合约费用:0.00 	 可买担保品资金:4106298.91 	 融资合约盈亏:0.00
可转出资产:26816992.04 	 其他费用:0.00 	 信用买标的资金:4106298.91
融券合约盈亏:-1242585.40 	 待还款总额:0.00 	 币种名称:人民币

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比例()	盈亏(约)	市值(约)	交易市场	股东帐户	在途数量	货币单位	
511990	华宝添益	741939	741939	0	99.719	99.719	99.691	-0.03	-20774.292	73964640.849	上海Ａ	E050575160	0	人民币	
600004	白云机场	1300	1300	0	16.906	16.927	16.680	-1.46	-320.918	21684.000	上海Ａ	E050575160	0	人民币	
600006	东风汽车	300	300	0	4.071	4.092	4.250	3.88	47.400	1275.000	上海Ａ	E050575160	0	人民币	
600009	上海机场	800	800	0	73.563	73.650	73.630	-0.03	-15.907	58904.000	上海Ａ	E050575160	0	人民币	
600011	华能国际	1000	1000	0	4.371	4.380	4.380	-0.01	-0.468	4380.000	上海Ａ	E050575160	0	人民币	
600018	上港集团	700	700	0	4.211	4.222	4.180	-1.01	-29.685	2926.000	上海Ａ	E050575160	0	人民币	
600026	中远海能	200	200	0	6.721	6.753	6.690	-0.94	-12.565	1338.000	上海Ａ	E050575160	0	人民币	
600028	中国石化	400	400	0	4.228	4.245	4.260	0.36	6.062	1704.000	上海Ａ	E050575160	0	人民币	
600029	南方航空	1000	1000	0	5.121	5.131	5.120	-0.22	-11.222	5120.000	上海Ａ	E050575160	0	人民币	
600031	三一重工	300	300	0	18.743	18.779	19.000	1.18	66.286	5700.000	上海Ａ	E050575160	0	人民币	
600037	歌华有线	3200	3200	0	9.777	9.789	13.710	40.06	12533.831	43872.000	上海Ａ	E050575160	0	人民币	
600039	四川路桥	800	800	0	4.061	4.071	4.050	-0.53	-17.105	3240.000	上海Ａ	E050575160	0	人民币	
600048	保利地产	1900	1900	0	14.911	14.929	15.240	2.09	590.565	28956.000	上海Ａ	E050575160	0	人民币	
600053	九鼎投资	200	200	0	23.598	23.647	26.880	13.69	645.916	5376.000	上海Ａ	E050575160	0	人民币	
600055	万东医疗	1800	1800	0	17.167	17.187	16.500	-4.00	-1235.894	29700.000	上海Ａ	E050575160	0	人民币	
600056	中国医药	600	600	0	13.567	13.589	13.740	1.11	90.391	8244.000	上海Ａ	E050575160	0	人民币	
600057	厦门象屿	200	200	0	6.171	6.202	6.180	-0.36	-4.461	1236.000	上海Ａ	E050575160	0	人民币	
600059	古越龙山	4000	4000	0	9.592	9.603	9.510	-0.97	-372.887	38040.000	上海Ａ	E050575160	0	人民币	
