人民币: 余额:13541985.00  可用:16647493.19  可取:0.00  参考市值:77660819.48  盈亏:4137154.14  资产:94309662.64 
-------------------------------------------------------------------------------------------------------

证券代码        证券名称        参考持股        可用股份        成本价          当前价         最新市值          浮动盈亏          盈亏比例(%)        冻结数量        股东代码          
600057          厦门象屿        57500           57500           6.685           6.700          385250.00         862.50            0.22               0               B883205909        
600058          五矿发展        13600           13600           7.027           7.050          95880.00          312.80            0.33               0               B883205909        
600089          特变电工        95500           95500           8.645           8.760          836580.00         10982.50          1.33               0               B883205909        
600161          天坛生物        46500           46500           47.941          51.070         2374755.00        145498.50         6.53               0               B883205909        
600200          江苏吴中        0               0               0.000           7.390          0.00              14787.84          -100.00            0               B883205909        
600328          中盐化工        5200            5200            8.651           8.470          44044.00          -941.20           -2.09              0               B883205909        
600337          美克家居        0               0               0.000           5.250          0.00              -18.85            -100.00            0               B883205909        
600343          航天动力        28900           28900           9.705           10.210         295069.00         14594.50          5.20               0               B883205909        
600490          鹏欣资源        126500          126500          4.192           4.760          602140.00         71898.26          13.56              0               B883205909        
600531          豫光金铅        0               0               0.000           6.790          0.00              -24191.70         -100.00            0               B883205909        
600592          龙溪股份        20500           20500           12.070          12.940         265270.00         17837.92          7.21               0               B883205909        
600601          方正科技        0               0               0.000           5.410          0.00              126471.88         -100.00            0               B883205909        
600633          浙数文化        125500          12900           12.047          11.960         1500980.00        -10888.95         -0.72              0               B883205909        
600702          舍得酒业        14000           14000           36.139          36.430         510020.00         4074.00           0.81               0               B883205909        
600885          宏发股份        3100            3100            44.711          46.170         143127.00         4522.90           3.26               0               B883205909        
600973          宝胜股份        99900           99900           4.593           4.530          452547.00         -6293.70          -1.37              0               B883205909        
601108          财通证券        0               0               0.000           15.460         0.00              1732.46           -100.00            0               B883205909        
601222          林洋能源        42800           42800           8.481           8.200          350960.00         -12026.80         -3.31              0               B883205909        
601500          通用股份        7500            7500            6.575           6.500          48750.00          -562.50           -1.14              0               B883205909        
601919          中远海控        172100          172100          4.908           4.780          822638.00         -22028.80         -2.61              0               B883205909        
603167          渤海轮渡        49600           49600           8.511           9.880          490048.00         67902.40          16.09              0               B883205909        
603208          江山欧派        6210            6210            119.199         137.200        852012.00         111789.14         15.10              0               B883205909        
603557          起步股份        0               0               0.000           10.310         0.00              458.59            -100.00            0               B883205909        
603605          珀莱雅          200             200             -101.337        189.220        37844.00          58111.40          -286.72            0               B883205909        
603669          灵康药业        171200          171200          10.181          10.000         1712000.00        -30987.20         -1.78              0               B883205909        
