账户,备注,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比率,参考盈亏,SymbolFull
20300226218,lh29,000070,特发信息,207700,207700,207700,0,0,0,11.71,11.70,2.54%,2430089.96,-0.05%,-1246.24,000070.SZ
20300226218,lh29,000400,许继电气,150900,0,0,0,0,150900,--,16.37,1.99%,0.00,--,0.00,000400.SZ
20300226218,lh29,000591,太阳能,458500,458500,458500,0,0,0,4.30,4.97,2.05%,2278744.90,15.69%,309028.90,000591.SZ
20300226218,lh29,000603,盛达资源,45600,45600,45600,0,0,0,18.87,19.10,1.98%,870960.02,1.25%,10716.02,000603.SZ
20300226218,lh29,000639,西王食品,77200,77200,77200,0,0,0,6.33,7.00,2.79%,540400.00,10.65%,52032.80,000639.SZ
20300226218,lh29,000710,贝瑞基因,100,100,100,0,0,0,88.20,97.50,8.57%,9750.00,10.54%,929.90,000710.SZ
20300226218,lh29,000786,北新建材,9100,9100,9100,0,0,0,29.00,31.56,2.40%,287196.00,8.84%,23332.40,000786.SZ
20300226218,lh29,000795,英洛华,116500,49200,49200,0,0,67300,6.88,6.56,2.02%,322752.00,-4.69%,-15881.07,000795.SZ
20300226218,lh29,002020,京新药业,168000,168000,168000,0,0,0,14.88,15.36,2.40%,2580479.94,3.25%,81311.94,002020.SZ
20300226218,lh29,002028,思源电气,89000,89000,89000,0,0,0,27.61,28.87,2.01%,2569430.07,4.58%,112496.07,002028.SZ
20300226218,lh29,002157,正邦科技,41600,0,0,0,0,41600,--,22.00,1.99%,0.00,--,0.00,002157.SZ
20300226218,lh29,002182,云海金属,97000,97000,97000,0,0,0,12.16,12.45,1.97%,1207649.98,2.36%,27838.98,002182.SZ
20300226218,lh29,002225,濮耐股份,45600,45600,45600,0,0,0,4.71,4.65,0.43%,212040.00,-1.29%,-2781.60,002225.SZ
20300226218,lh29,002386,天原集团,83800,83800,83800,0,0,0,6.01,6.89,2.07%,577381.99,14.66%,73827.79,002386.SZ
20300226218,lh29,002449,国星光电,167800,83900,83900,0,0,83900,14.25,15.17,2.15%,1272763.01,6.45%,77122.90,002449.SZ
20300226218,lh29,002515,金字火腿,42200,42200,42200,0,0,0,8.30,8.18,2.38%,345196.01,-1.45%,-5063.99,002515.SZ
20300226218,lh29,002557,洽洽食品,200,200,200,0,0,0,-71.55,59.06,2.00%,11812.00,-182.55%,26121.00,002557.SZ
20300226218,lh29,002570,贝因美,32400,32400,32400,0,0,0,7.97,8.08,2.02%,261792.00,1.38%,3564.00,002570.SZ
20300226218,lh29,002581,未名医药,38900,0,0,0,0,38900,--,24.26,2.02%,0.00,--,0.00,002581.SZ
20300226218,lh29,002639,雪人股份,40000,40000,40000,0,0,0,8.13,8.50,3.66%,340000.00,4.62%,15000.00,002639.SZ
20300226218,lh29,002653,海思科,47501,47501,47501,0,0,0,28.44,29.47,2.01%,1399854.44,3.62%,48926.00,002653.SZ
20300226218,lh29,002688,金河生物,170120,170120,170120,0,0,0,8.92,9.51,2.04%,1617841.24,6.67%,101221.44,002688.SZ
20300226218,lh29,002866,传艺科技,31200,31200,31200,0,0,0,19.51,22.51,1.99%,702312.01,15.39%,93693.61,002866.SZ
20300226218,lh29,002887,绿茵生态,103000,103000,103000,0,0,0,14.95,14.65,2.09%,1508949.96,-2.01%,-31003.04,002887.SZ
20300226218,lh29,002935,天奥电子,54700,54700,54700,0,0,0,28.91,28.41,4.72%,1554026.99,-1.71%,-27076.51,002935.SZ
20300226218,lh29,002940,昂利康,5000,5000,5000,0,0,0,66.23,65.20,4.65%,325999.98,-1.55%,-5135.02,002940.SZ
20300226218,lh29,300009,安科生物,113600,113600,113600,0,0,0,21.55,21.80,3.02%,2476479.91,1.17%,28740.71,300009.SZ
20300226218,lh29,300031,宝通科技,32500,0,0,0,0,32500,--,29.28,15.87%,0.00,--,0.00,300031.SZ
20300226218,lh29,300053,欧比特,151900,300,300,0,0,151600,150.40,12.05,2.29%,3615.00,-91.99%,-41504.55,300053.SZ
20300226218,lh29,300083,创世纪,1300,1300,1300,0,0,0,52.37,10.25,2.40%,13325.00,-80.43%,-54761.20,300083.SZ
20300226218,lh29,300109,新开源,32400,32400,32400,0,0,0,17.30,17.85,2.00%,578340.01,3.20%,17917.21,300109.SZ
20300226218,lh29,300118,东方日升,83800,34600,34600,0,0,49200,18.99,19.09,2.19%,660514.01,0.53%,3468.31,300118.SZ
20300226218,lh29,300146,汤臣倍健,52300,96000,52300,0,43700,0,23.44,26.90,7.51%,2582399.96,14.75%,331881.08,300146.SZ
20300226218,lh29,300148,天舟文化,96000,96000,96000,0,0,0,6.23,6.06,8.41%,581759.99,-2.68%,-16032.01,300148.SZ
20300226218,lh29,300151,昌红科技,72200,72200,72200,0,0,0,17.66,21.91,-1.04%,1581901.99,24.06%,306777.79,300151.SZ
20300226218,lh29,300177,中海达,201800,213300,201800,0,11500,0,11.42,11.26,4.36%,2401758.05,-1.39%,-33909.96,300177.SZ
20300226218,lh29,300182,捷成股份,494800,494800,494800,0,0,0,5.02,5.25,1.55%,2597700.00,4.58%,113804.00,300182.SZ
20300226218,lh29,300194,福安药业,391100,391100,391100,0,0,0,6.27,6.45,2.22%,2522594.93,2.89%,70789.03,300194.SZ
20300226218,lh29,300199,翰宇药业,114200,0,0,0,0,114200,--,10.90,20.04%,0.00,--,0.00,300199.SZ
20300226218,lh29,300204,舒泰神,86100,6500,6500,0,0,79600,15.86,13.50,2.74%,87750.00,-14.87%,-15322.35,300204.SZ
20300226218,lh29,300213,佳讯飞鸿,70900,70900,70900,0,0,0,8.40,8.86,4.48%,628173.98,5.51%,32826.68,300213.SZ
20300226218,lh29,300300,汉鼎宇佑,72100,0,0,0,0,72100,--,6.34,1.93%,0.00,--,0.00,300300.SZ
20300226218,lh29,300303,聚飞光电,74400,74400,74400,0,0,0,6.79,7.62,2.01%,566927.99,12.31%,62123.99,300303.SZ
20300226218,lh29,300323,华灿光电,269600,269600,269600,0,0,0,9.64,10.62,2.02%,2863151.97,10.22%,265555.97,300323.SZ
20300226218,lh29,300327,中颖电子,68110,68110,68110,0,0,0,36.80,38.48,3.03%,2620872.77,4.58%,114765.32,300327.SZ
20300226218,lh29,300366,创意信息,167900,167900,167900,0,0,0,13.36,15.93,1.98%,2674647.05,19.25%,431670.95,300366.SZ
20300226218,lh29,300427,红相股份,66700,66700,66700,0,0,0,25.20,24.80,3.12%,1654159.95,-1.58%,-26479.95,300427.SZ
20300226218,lh29,300464,星徽精密,103000,103000,103000,0,0,0,25.27,28.40,2.01%,2925199.96,12.39%,322389.96,300464.SZ
20300226218,lh29,300492,华图山鼎,9000,9000,9000,0,0,0,43.97,46.00,3.00%,414000.00,4.62%,18279.00,300492.SZ
20300226218,lh29,300599,雄塑科技,42600,42600,42600,0,0,0,15.09,15.18,2.22%,646668.01,0.59%,3791.41,300599.SZ
20300226218,lh29,300612,宣亚国际,1200,1200,1200,0,0,0,36.93,43.05,1.99%,51660.00,16.57%,7342.80,300612.SZ
20300226218,lh29,300629,新劲刚,29300,10600,10600,0,0,18700,32.90,31.90,3.57%,338140.00,-3.04%,-10596.54,300629.SZ
20300226218,lh29,300677,英科医疗,5200,5200,4600,0,600,600,174.19,175.50,2.21%,912600.00,0.75%,6794.28,300677.SZ
20300226218,lh29,300740,御家汇,5900,0,0,0,0,5900,--,23.33,3.23%,0.00,--,0.00,300740.SZ
20300226218,lh29,300758,七彩化学,31200,0,0,0,0,31200,--,36.44,3.67%,0.00,--,0.00,300758.SZ
20300226218,lh29,600161,天坛生物,51000,51000,51000,0,0,0,48.10,49.63,1.29%,2531130.05,3.19%,78234.05,600161.SH
20300226218,lh29,600200,江苏吴中,41600,41600,6000,0,35600,35600,7.10,7.59,4.12%,315744.01,6.96%,20551.32,600200.SH
20300226218,lh29,600490,鹏欣资源,88100,88100,88100,0,0,0,4.09,4.40,10.00%,387640.01,7.68%,27663.41,600490.SH
20300226218,lh29,600515,海航基础,84200,0,0,0,0,84200,--,6.90,-5.09%,0.00,--,0.00,600515.SH
