账户,证券代码,证券名称,买卖,成交量,成交均价,成交金额
"7900000219","600425.SH","青松建化","卖出","223700","5.7452555869468","1285213.6748"
"8009214188","688126.SH","沪硅产业","卖出","10750","51.5862792093023","554552.5015"
"7900000219","000566.SZ","海南海药","卖出","107200","9.42842350559702","1010726.9998"
"7900000219","603185.SH","上机数控","买入","1600","66.79375","106870"
"8009214188","688126.SH","沪硅产业","买入","10750","51.403488372093","552587.5"
"7900000219","600515.SH","海航基础","卖出","408540","6.66344005311597","2722281.7993"
"7900000219","002293.SZ","罗莱生活","买入","2700","11.0066666666667","29718"
"8009205008","600584.SH","长电科技","融券卖出","5000","46.81","234050"
"7900000219","601811.SH","新华文轩","买入","1800","11.1772222222222","20119"
"7900000219","000596.SZ","古井贡酒","买入","900","209.54","188586"
"1900712962","603666.SH","亿嘉和","卖出","1300","111.82","145366"
"7900000219","300427.SZ","红相股份","买入","6000","26.1528333333333","156917"
"52300000322","000998.SZ","隆平高科","卖出","25200","21.0873015873016","531400"
"7900000219","600983.SH","惠而浦","买入","2800","5.15607142857143","14437"
"7900000219","603393.SH","新天然气","买入","1700","44.1952941176471","75132"
"7900000219","000688.SZ","国城矿业","买入","1600","23.826875","38123"
"52300000322","000998.SZ","隆平高科","买入","25200","21.1292857142857","532458"
"7900000219","603181.SH","皇马科技","买入","1000","24.584","24584"
"7900000219","600775.SH","南京熊猫","买入","7600","8.65355263157895","65767"
"7900000219","300393.SZ","中来股份","买入","10200","7.97156862745098","81310"
"1900712962","600510.SH","黑牡丹","卖出","24100","8.22825726141079","198301"
"7900000219","300083.SZ","创世纪","卖出","26900","10.5269516356877","283174.999"
"7900000219","300327.SZ","中颖电子","买入","5300","36.7350943584906","194696.0001"
"7900000219","600723.SH","首商股份","卖出","13300","10.8127819548872","143810"
"1900712962","002930.SZ","宏川智慧","卖出","9800","23.5757244897959","231042.1"
"7900000219","603444.SH","吉比特","买入","200","633.17","126634"
"7900000219","603605.SH","珀莱雅","买入","400","182.6525","73061"
"7900000219","601949.SH","中国出版","买入","11600","6.23956896551724","72379"
"1900712962","600668.SH","尖峰集团","卖出","12300","17.1811211707317","211327.7904"
"1900712962","300366.SZ","创意信息","卖出","15600","16.2083333333333","252850"
"7900000219","002452.SZ","长高集团","买入","1800","7.37333333333333","13272"
"7900000219","300293.SZ","蓝英装备","卖出","48300","23.480683194617","1134116.9983"
"7900000219","600297.SH","广汇汽车","买入","24000","4.28545833333333","102851"
"7900000219","600660.SH","福耀玻璃","买入","6000","26.9775000666667","161865.0004"
"7900000219","600180.SH","瑞茂通","买入","2300","7.02434782608696","16156"
"7900000219","000967.SZ","盈峰环境","买入","4900","9.9130612244898","48574"
"1900712962","002233.SZ","塔牌集团","卖出","14600","15.8647945410959","231626.0003"
"7900000219","300536.SZ","农尚环境","买入","2800","15.9103571428571","44549"
"7900000219","600623.SH","华谊集团","买入","4200","5.90976190476191","24821"
"7900000219","603797.SH","联泰环保","买入","800","9.42","7536"
"7900000219","601799.SH","星宇股份","买入","300","144.966666666667","43490"
"7900000219","000050.SZ","深天马Ａ","买入","6200","18.2985483870968","113451"
"7900000219","002406.SZ","远东传动","买入","5000","7.131","35655"
"1900712962","600369.SH","西南证券","卖出","37300","5.84815013404826","218136"
"20300226218","002935.SZ","天奥电子","买入","0","0","0"
"1900712962","300159.SZ","新研股份","卖出","18200","5.69445054945055","103639"
"7900000219","000766.SZ","通化金马","买入","8700","5.25804597701149","45745"
"7900000219","603517.SH","绝味食品","买入","1200","85.915","103098"
"20300226218","601108.SH","财通证券","买入","144800","15.3840055248619","2227604"
"20300226218","601108.SH","财通证券","卖出","144800","15.4194198093923","2232731.9884"
"7900000219","600475.SH","华光环能","买入","200","13.21","2642"
"1900712962","600161.SH","天坛生物","卖出","4500","49.2077777777778","221435"
"7900000219","000597.SZ","东北制药","买入","1000","5.622","5622"
"7900000219","600151.SH","航天机电","买入","2900","5.41344827586207","15699"
"7900000219","603977.SH","国泰集团","买入","400","7.3825","2953"
"7900000219","600248.SH","延长化建","买入","100","4.37","437"
"7900000219","002038.SZ","双鹭药业","卖出","2000","14.0365","28073"
"7900000219","002519.SZ","银河电子","买入","2500","4.79","11975"
"1900712962","600855.SH","航天长峰","卖出","6800","18.2958823529412","124412"
"7900000219","300575.SZ","中旗股份","买入","1000","51.681","51681"
"7900000219","600987.SH","航民股份","买入","100","5.8","580"
"7900000219","600809.SH","山西汾酒","买入","900","178","160200"
"1900712962","601877.SH","正泰电器","卖出","6700","31.0870149253731","208283"
"7900000219","600141.SH","兴发集团","买入","1200","10.5866666666667","12704"
"1900712962","002666.SZ","德联集团","卖出","18800","7.03675531914894","132291"
"7900000219","300660.SZ","江苏雷利","买入","100","19.09","1909"
"7900000219","600801.SH","华新水泥","买入","1400","27.2735714285714","38183"
"7900000219","002352.SZ","顺丰控股","买入","2100","69.9842857142857","146967"
"1900712962","002099.SZ","海翔药业","卖出","14800","8.8722972972973","131310"
"1900712962","002932.SZ","明德生物","卖出","700","104.607142857143","73225"
"1900712962","002867.SZ","周大生","卖出","5100","28.2556862745098","144104"
"7900000219","000155.SZ","川能动力","买入","7900","5.52708860759494","43664"
"1900712962","002416.SZ","爱施德","卖出","16800","10.585","177828"
"1900712962","002524.SZ","光正集团","卖出","14300","11.8645454545455","169663"
"1900712962","000733.SZ","振华科技","卖出","6000","36.67283325","220036.9995"
"7900000219","002631.SZ","德尔未来","买入","1600","7.829375","12527"
"7900000219","601126.SH","四方股份","买入","1000","6.731","6731"
"7900000219","300359.SZ","全通教育","买入","1300","6.62","8606"
"1900712962","300525.SZ","博思软件","卖出","3600","44.0683333333333","158646"
"1900712962","300177.SZ","中海达","卖出","13000","11.3473076923077","147515"
"7900000219","600822.SH","上海物贸","买入","4500","12.0086666666667","54039"
"7900000219","300024.SZ","机器人","买入","3000","15.967","47901"
"7900000219","300255.SZ","常山药业","买入","11700","6.62222222222222","77480"
"7900000219","002233.SZ","塔牌集团","买入","3400","15.8773529411765","53983"
"7900000219","300388.SZ","国祯环保","买入","1300","10.6507692307692","13846"
"7900000219","300053.SZ","欧比特","买入","6300","12.631746031746","79580"
"7900000219","002282.SZ","博深股份","买入","700","9.74","6818"
"7900000219","300396.SZ","迪瑞医疗","买入","500","26.75","13375"
"1900712962","603305.SH","旭升股份","卖出","700","46.7614285714286","32733"
"1900712962","002707.SZ","众信旅游","卖出","20400","10.0145098039216","204296"
"7900000219","002882.SZ","金龙羽","买入","100","9.78","978"
"7900000219","601222.SH","林洋能源","买入","35165","8.42184842883549","296154.3"
"7900000219","600603.SH","广汇物流","买入","500","5.67","2835"
