时间            资产账户        证券代码        证券名称        可用数量        库存数量        参考成本                参考盈亏                市值                交易板块
15:19:09.130    99165566        000032          深桑达Ａ        5400            5400            25.8004                 -2971.900               136350.000              00
15:19:09.130    99165566        000066          中国长城        1000            41000           17.2953                 600.830                 709710.000              00
15:19:09.130    99165566        000088          盐田港          0               0               0.0000                  1484.540                0.000                   00
15:19:09.130    99165566        000400          许继电气        0               2500            15.1118                 -1029.420               36750.000               00
15:19:09.130    99165566        000531          穗恒运Ａ        0               3900            9.8717                  -591.540                37908.000               00
15:19:09.130    99165566        000584          哈工智能        0               22400           6.3388                  4506.250                146496.000              00
15:19:09.130    99165566        000733          振华科技        6300            6300            30.1482                 7382.390                197316.000              00
15:19:09.130    99165566        000860          顺鑫农业        9600            9600            65.2909                 -33512.970              593280.000              00
15:19:09.130    99165566        000960          锡业股份        0               68700           10.1677                 1529.290                700053.000              00
15:19:09.130    99165566        000975          银泰黄金        2000            2000            16.3961                 6667.810                39460.000               00
15:19:09.130    99165566        000976          华铁股份        0               82700           6.6298                  -22316.200              525972.000              00
15:19:09.130    99165566        000987          越秀金控        0               30700           21.2443                 -130.850                652068.000              00
15:19:09.130    99165566        002004          华邦健康        0               112800          6.2932                  -87214.060              622656.000              00
15:19:09.130    99165566        002013          中航机电        0               63000           10.4976                 14638.570               675990.000              00
15:19:09.130    99165566        002049          紫光国微        5700            5700            122.5274                19793.800               718200.000              00
15:19:09.130    99165566        002104          恒宝股份        46000           46000           10.3182                 -22458.190              452180.000              00
15:19:09.130    99165566        002128          露天煤业        24600           24600           11.7720                 -8167.450               281424.000              00
15:19:09.130    99165566        002137          麦达数字        0               0               0.0000                  -6268.180               0.000                   00
15:19:09.130    99165566        002156          通富微电        0               14200           25.7749                 8876.790                374880.000              00
15:19:09.130    99165566        002181          粤传媒          0               0               0.0000                  -20242.810              0.000                   00
15:19:09.130    99165566        002191          劲嘉股份        52200           52200           12.2355                 -45176.560              593514.000              00
15:19:09.130    99165566        002204          大连重工        0               0               0.0000                  -48169.840              0.000                   00
15:19:09.130    99165566        002214          大立科技        0               12700           28.3643                 2230.770                362458.000              00
15:19:09.130    99165566        002229          鸿博股份        50              50              207.3336                -10019.180              347.500                 00
15:19:09.130    99165566        002311          海大集团        500             500             56.3164                 66.790                  28225.000               00
15:19:09.130    99165566        002328          新朋股份        0               0               0.0000                  -9581.310               0.000                   00
15:19:09.130    99165566        002352          顺丰控股        10600           10600           64.9088                 25240.820               713274.000              00
15:19:09.130    99165566        002382          蓝帆医疗        0               11200           29.4724                 3892.900                333984.000              00
15:19:09.130    99165566        002409          雅克科技        0               4500            58.7266                 -4754.910               259515.000              00
15:19:09.130    99165566        002415          海康威视        0               19900           36.7638                 4501.650                736101.000              00
15:19:09.130    99165566        002425          凯撒文化        0               50500           13.3806                 -4575.860               671145.000              00
15:19:09.130    99165566        002444          巨星科技        0               0               0.0000                  -13050.150              0.000                   00
15:19:09.130    99165566        002515          金字火腿        96              96              360.7678                -33954.030              679.680                 00
15:19:09.130    99165566        002555          三七互娱        0               0               0.0000                  -32853.550              0.000                   00
15:19:09.130    99165566        002570          贝因美          26900           26900           7.8432                  -6541.860               204440.000              00
15:19:09.130    99165566        002637          赞宇科技        0               13100           12.4432                 -2268.700               160737.000              00
15:19:09.130    99165566        002666          德联集团        0               0               0.0000                  -5338.930               0.000                   00
15:19:09.130    99165566        002677          浙江美大        0               0               0.0000                  -8467.890               0.000                   00
15:19:09.130    99165566        002709          天赐材料        0               0               0.0000                  -43132.830              0.000                   00
15:19:09.130    99165566        002727          一心堂          7400            7400            33.0289                 -10647.670              233766.000              00
15:19:09.130    99165566        002745          木林森          0               0               0.0000                  -88980.440              0.000                   00
15:19:09.130    99165566        002797          第一创业        0               0               0.0000                  -36276.110              0.000                   00
15:19:09.130    99165566        002812          恩捷股份        6900            6900            74.9196                 -56025.540              460920.000              00
15:19:09.130    99165566        002821          凯莱英          0               0               0.0000                  -7220.600               0.000                   00
15:19:09.130    99165566        002847          盐津铺子        600             600             99.7709                 -702.520                59160.000               00
15:19:09.130    99165566        002930          宏川智慧        17100           17100           18.7162                 11522.010               331569.000              00
15:19:09.130    99165566        002940          昂利康          2300            2300            65.1193                 2485.540                152260.000              00
15:19:09.130    99165566        300005          探路者          63700           63700           4.3907                  8239.050                287924.000              00
15:19:09.130    99165566        300083          创世纪          61700           61700           9.3727                  -60629.570              517663.000              00
15:19:09.130    99165566        300085          银之杰          25500           30500           22.7161                 -40749.600              652090.000              00
15:19:09.130    99165566        300118          东方日升        24500           24500           18.6344                 6261.530                462805.000              00
15:19:09.130    99165566        300137          先河环保        43980           43980           8.1304                  -11012.830              346562.400              00
15:19:09.130    99165566        300144          宋城演艺        0               0               0.0000                  -9191.380               0.000                   00
15:19:09.130    99165566        300151          昌红科技        15700           15700           17.4946                 18924.810               293590.000              00
15:19:09.130    99165566        300181          佐力药业        31700           31700           6.4117                  3434.520                206684.000              00
15:19:09.130    99165566        300206          理邦仪器        2100            2100            24.3000                 -4809.000               46221.000               00
15:19:09.130    99165566        300213          佳讯飞鸿        0               0               0.0000                  -16449.010              0.000                   00
15:19:09.130    99165566        300285          国瓷材料        9300            9300            36.1703                 -16091.430              320292.000              00
15:19:09.130    99165566        300303          聚飞光电        50500           50500           6.4689                  8137.010                334815.000              00
15:19:09.130    99165566        300346          南大光电        0               16500           37.1944                 9827.190                623535.000              00
15:19:09.130    99165566        300364          中文在线        0               26300           8.1507                  -17.440                 214345.000              00
15:19:09.130    99165566        300366          创意信息        39700           49700           12.8814                 -3050.140               637154.000              00
15:19:09.130    99165566        300390          天华超净        14600           14600           17.8500                 -10950.000              249660.000              00
15:19:09.130    99165566        300413          芒果超媒        400             400             68.9403                 -1976.120               25600.000               00
15:19:09.130    99165566        300485          赛升药业        0               600             18.1145                 771.280                 11640.000               00
15:19:09.130    99165566        300489          中飞股份        8400            8400            44.2749                 -43048.740              328860.000              00
15:19:09.130    99165566        300492          华图山鼎        0               400             43.8320                 163.220                 17696.000               00
15:19:09.130    99165566        300566          激智科技        13000           13000           35.3778                 -47161.980              412750.000              00
15:19:09.130    99165566        300598          诚迈科技        0               1600            178.0204                447.390                 285280.000              00
15:19:09.130    99165566        300669          沪宁股份        200             200             34.7052                 -285.040                6656.000                00
15:19:09.130    99165566        300673          佩蒂股份        0               0               0.0000                  4980.960                0.000                   00
15:19:09.130    99165566        300757          罗博特科        2000            2000            47.7482                 -10796.320              84700.000               00
15:19:09.130    99165566        511990          华宝添益        6               6               -40831.9567             245591.818              600.078                 10
15:19:09.130    99165566        600089          特变电工        0               0               0.0000                  2395.480                0.000                   10
15:19:09.130    99165566        600131          国网信通        2800            2800            22.0738                 -5218.510               56588.000               10
15:19:09.130    99165566        600201          生物股份        7100            7100            27.8502                 -10935.660              186801.000              10
15:19:09.130    99165566        600273          嘉化能源        30500           30500           12.0758                 -481.570                367830.000              10
15:19:09.130    99165566        600352          浙江龙盛        0               0               0.0000                  -31662.890              0.000                   10
15:19:09.130    99165566        600409          三友化工        0               0               0.0000                  -2225.560               0.000                   10
15:19:09.130    99165566        600515          海航基础        77800           77800           7.6210                  -49094.870              543822.000              10
15:19:09.130    99165566        600587          新华医疗        0               0               0.0000                  -67.870                 0.000                   10
