时间            资产账户        证券代码        证券名称        可用数量        库存数量        参考成本                参考盈亏                市值                交易板块
15:11:55.230    99165566        000066          中国长城        0               0               0.0000                  -7529.010               0.000                   00
15:11:55.230    99165566        000070          特发信息        0               23100           11.7016                 -1423.940               268884.000              00
15:11:55.230    99165566        000531          穗恒运Ａ        0               0               0.0000                  420.620                 0.000                   00
15:11:55.230    99165566        000584          哈工智能        0               0               0.0000                  22911.070               0.000                   00
15:11:55.230    99165566        000603          盛达资源        9500            9500            19.1429                 -11427.270              170430.000              00
15:11:55.230    99165566        000672          上峰水泥        0               14700           30.2459                 -4055.590               440559.000              00
15:11:55.230    99165566        000710          贝瑞基因        100             8600            87.6442                 26968.010               780708.000              00
15:11:55.230    99165566        000733          振华科技        0               0               0.0000                  128111.060              0.000                   00
15:11:55.230    99165566        000786          北新建材        0               0               0.0000                  8155.020                0.000                   00
15:11:55.230    99165566        000795          英洛华          7400            7400            6.6213                  -897.350                48100.000               00
15:11:55.230    99165566        000860          顺鑫农业        0               0               0.0000                  -12197.010              0.000                   00
15:11:55.230    99165566        000960          锡业股份        0               0               0.0000                  16279.950               0.000                   00
15:11:55.230    99165566        000976          华铁股份        82700           82700           6.6297                  7466.750                555744.000              00
15:11:55.230    99165566        000987          越秀金控        0               0               0.0000                  56785.320               0.000                   00
15:11:55.230    99165566        001696          宗申动力        0               0               0.0000                  29780.200               0.000                   00
15:11:55.230    99165566        002004          华邦健康        100600          100600          6.3992                  -86435.560              557324.000              00
15:11:55.230    99165566        002020          京新药业        0               51200           14.9063                 9919.280                773120.000              00
15:11:55.230    99165566        002028          思源电气        0               27000           27.6800                 4049.980                751410.000              00
15:11:55.230    99165566        002057          中钢天源        87600           87600           7.9954                  -16240.040              684156.000              00
15:11:55.230    99165566        002104          恒宝股份        0               0               0.0000                  -12678.400              0.000                   00
15:11:55.230    99165566        002117          东港股份        2000            2000            11.8018                 396.460                 24000.000               00
15:11:55.230    99165566        002157          正邦科技        32600           32600           21.1637                 3138.520                693076.000              00
15:11:55.230    99165566        002163          海南发展        0               0               0.0000                  72252.110               0.000                   00
15:11:55.230    99165566        002182          云海金属        0               60200           12.1583                 1905.580                733838.000              00
15:11:55.230    99165566        002191          劲嘉股份        0               0               0.0000                  -51445.760              0.000                   00
15:11:55.230    99165566        002311          海大集团        0               0               0.0000                  2492.890                0.000                   00
15:11:55.230    99165566        002352          顺丰控股        0               0               0.0000                  53280.510               0.000                   00
15:11:55.230    99165566        002364          中恒电气        0               7100            15.0358                 5709.850                112464.000              00
15:11:55.230    99165566        002382          蓝帆医疗        0               0               0.0000                  15178.940               0.000                   00
15:11:55.230    99165566        002413          雷科防务        0               0               0.0000                  45764.150               0.000                   00
15:11:55.230    99165566        002415          海康威视        0               0               0.0000                  17651.610               0.000                   00
15:11:55.230    99165566        002425          凯撒文化        0               0               0.0000                  26848.680               0.000                   00
15:11:55.230    99165566        002449          国星光电        0               51000           14.4362                 5804.850                742050.000              00
15:11:55.230    99165566        002557          洽洽食品        12500           12500           56.2413                 30233.560               733250.000              00
15:11:55.230    99165566        002570          贝因美          26900           26900           7.8432                  183.140                 211165.000              00
15:11:55.230    99165566        002581          未名医药        30500           30500           22.6982                 13475.180               705770.000              00
15:11:55.230    99165566        002626          金达威          0               0               0.0000                  1058.340                0.000                   00
15:11:55.230    99165566        002653          海思科          0               26300           28.2261                 1416.830                743764.000              00
15:11:55.230    99165566        002867          周大生          3100            3100            28.3046                 1225.860                88970.000               00
15:11:55.230    99165566        002930          宏川智慧        17100           17100           18.7162                 38198.010               358245.000              00
15:11:55.230    99165566        002940          昂利康          2300            2300            65.1193                 -8094.460               141680.000              00
15:11:55.230    99165566        300005          探路者          63700           63700           4.3907                  15883.050               295568.000              00
15:11:55.230    99165566        300009          安科生物        0               34500           21.3617                 286.010                 737265.000              00
15:11:55.230    99165566        300031          宝通科技        9500            9500            28.5979                 -21354.760              250325.000              00
15:11:55.230    99165566        300085          银之杰          0               0               0.0000                  -39930.520              0.000                   00
15:11:55.230    99165566        300118          东方日升        24500           24500           18.6344                 -11623.470              444920.000              00
15:11:55.230    99165566        300119          瑞普生物        7500            7500            22.9812                 14016.140               186375.000              00
