时间            资产账户        证券代码        证券名称        可用数量        库存数量        参考成本                参考盈亏                市值                交易板块
15:14:05.295    56699491        000100          TCL科技         219100          219100          5.8407                  69954.980               1349656.000             00
15:14:05.295    56699491        000333          美的集团        21900           21900           58.4937                 13059.620               1294071.000             00
15:14:05.295    56699491        000403          双林生物        2900            2900            66.5137                 17128.360               210018.000              00
15:14:05.295    56699491        000423          东阿阿胶        9800            9800            33.7893                 19019.190               350154.000              00
15:14:05.295    56699491        000596          古井贡酒        4100            4100            146.2009                -5620.890               593803.000              00
15:14:05.295    56699491        000636          风华高科        0               43900           28.6078                 8435.430                1264320.000             00
15:14:05.295    56699491        000829          天音控股        24800           74800           5.8903                  99457.910               540056.000              00
15:14:05.295    56699491        000858          五粮液          6900            6900            155.8800                49127.790               1124700.000             00
15:14:05.295    56699491        000869          张裕Ａ          13700           13700           29.6857                 8415.750                415110.000              00
15:14:05.295    56699491        000893          东凌国际        12800           12800           5.8020                  -2201.750               72064.000               00
15:14:05.295    56699491        000976          华铁股份        127541          127541          5.4074                  -11144.180              678518.120              00
15:14:05.295    56699491        000988          华工科技        0               0               0.0000                  -3313.300               0.000                   00
15:14:05.295    56699491        002025          航天电器        0               0               0.0000                  89705.970               0.000                   00
15:14:05.295    56699491        002034          旺能环境        3700            3700            18.5952                 -4126.060               64676.000               00
15:14:05.295    56699491        002050          三花智控        65900           65900           20.9684                 67980.420               1449800.000             00
15:14:05.295    56699491        002063          远光软件        2600            2600            25.6272                 -33844.810              32786.000               00
15:14:05.295    56699491        002074          国轩高科        46100           46100           27.7661                 33835.060               1313850.000             00
15:14:05.295    56699491        002075          沙钢股份        0               0               0.0000                  -55657.010              0.000                   00
15:14:05.295    56699491        002126          银轮股份        55600           55600           12.3487                 -11049.360              675540.000              00
15:14:05.295    56699491        002129          中环股份        0               66200           20.9178                 24641.950               1409398.000             00
15:14:05.295    56699491        002142          宁波银行        49100           49100           26.0775                 -39646.750              1240757.000             00
15:14:05.295    56699491        002163          海南发展        0               0               0.0000                  -4270.040               0.000                   00
15:14:05.295    56699491        002241          歌尔股份        0               48100           26.4006                 25465.800               1295333.000             00
15:14:05.295    56699491        002271          东方雨虹        9600            9600            40.8084                 -5264.390               386496.000              00
15:14:05.295    56699491        002317          众生药业        35500           35500           13.0603                 34425.500               498065.000              00
15:14:05.295    56699491        002382          蓝帆医疗        400             400             -68.0518                38564.720               11344.000               00
15:14:05.295    56699491        002402          和而泰          79900           79900           16.0867                 -18110.920              1267214.000             00
15:14:05.295    56699491        002409          雅克科技        0               0               0.0000                  -30523.240              0.000                   00
15:14:05.295    56699491        002410          广联达          18400           18400           61.6259                 61531.610               1195448.000             00
15:14:05.295    56699491        002438          江苏神通        38000           38000           8.3112                  -424.990                315400.000              00
15:14:05.295    56699491        002439          启明星辰        16400           16400           38.1550                 20418.460               646160.000              00
15:14:05.295    56699491        002460          赣锋锂业        0               0               0.0000                  71146.290               0.000                   00
15:14:05.295    56699491        002465          海格通信        52038           52038           13.6118                 -27675.930              680657.040              00
15:14:05.295    56699491        002481          双塔食品        42200           42200           16.7377                 25837.800               732170.000              00
15:14:05.295    56699491        002508          老板电器        33800           33800           32.5430                 -25112.040              1074840.000             00
15:14:05.295    56699491        002539          云图控股        19700           19700           6.5730                  6047.840                135536.000              00
15:14:05.295    56699491        002541          鸿路钢构        4200            4200            12.2699                 59766.460               111300.000              00
15:14:05.295    56699491        002582          好想你          65800           65800           12.1493                 5965.720                805392.000              00
15:14:05.295    56699491        002605          姚记科技        0               19000           34.3894                 11980.870               665380.000              00
15:14:05.295    56699491        002608          江苏国信        16000           16000           6.4210                  -976.360                101760.000              00
15:14:05.295    56699491        002626          金达威          23200           23200           23.9878                 6083.260                562600.000              00
15:14:05.295    56699491        002675          东诚药业        39800           39800           20.4639                 2234.230                816696.000              00
15:14:05.295    56699491        002683          宏大爆破        17200           17200           34.1018                 48645.570               635196.000              00
15:14:05.295    56699491        002705          新宝股份        18100           18100           34.8408                 10302.170               640921.000              00
15:14:05.295    56699491        002706          良信电器        18900           18900           15.3090                 7578.020                296919.000              00
15:14:05.295    56699491        002732          燕塘乳业        1600            1600            22.3387                 450.090                 36192.000               00
15:14:05.295    56699491        002747          埃斯顿          35700           35700           11.1932                 -4041.890               395556.000              00
15:14:05.295    56699491        002749          国光股份        10000           10000           12.2954                 9245.630                132200.000              00
15:14:05.295    56699491        002791          坚朗五金        100             100             84.1860                 545.400                 8964.000                00
15:14:05.295    56699491        002821          凯莱英          3300            3300            230.5726                -15089.530              745800.000              00
15:14:05.295    56699491        002841          视源股份        3100            3100            96.6507                 -312.270                299305.000              00
15:14:05.295    56699491        002878          元隆雅图        8250            8250            23.4181                 -6584.550               186615.000              00
15:14:05.295    56699491        002891          中宠股份        2100            2100            32.4224                 17572.020               85659.000               00
15:14:05.295    56699491        002925          盈趣科技        0               0               0.0000                  3027.100                0.000                   00
15:14:05.295    56699491        002940          昂利康          11900           11900           55.9279                 -12708.290              652834.000              00
15:14:05.295    56699491        002951          金时科技        0               0               0.0000                  2513.610                0.000                   00
15:14:05.295    56699491        300009          安科生物        46185           46185           16.5978                 101.610                 766671.000              00
15:14:05.295    56699491        300037          新宙邦          15000           15000           43.2126                 130461.180              778650.000              00
15:14:05.295    56699491        300118          东方日升        90100           90100           14.3397                 -38713.430              1253291.000             00
15:14:05.295    56699491        300136          信维通信        27200           27200           45.2714                 121545.240              1352928.000             00
15:14:05.295    56699491        300161          华中数控        37800           37800           22.0210                 2231.800                834624.000              00
15:14:05.295    56699491        300271          华宇软件        8400            8400            27.1242                 1980.740                229824.000              00
15:14:05.295    56699491        300285          国瓷材料        24200           24200           27.1319                 85864.290               742456.000              00
15:14:05.295    56699491        300300          汉鼎宇佑        54200           54200           6.3938                  -11043.820              335498.000              00
15:14:05.295    56699491        300379          东方通          9400            9400            41.7560                 12163.270               404670.000              00
15:14:05.295    56699491        300384          三联虹普        3900            3900            16.4960                 3369.620                67704.000               00
15:14:05.295    56699491        300391          康跃科技        9800            9800            13.4779                 -4683.060               127400.000              00
15:14:05.295    56699491        300396          迪瑞医疗        5000            5000            25.1238                 2881.130                128500.000              00
15:14:05.295    56699491        300404          博济医药        93              93              203.0615                -17491.580              1393.140                00
15:14:05.295    56699491        300475          聚隆科技        11200           11200           8.7141                  -269.570                97328.000               00
15:14:05.295    56699491        300485          赛升药业        34000           53812           22.7748                 19651.500               1245209.680             00
15:14:05.295    56699491        300530          达志科技        8400            8400            36.6511                 33590.990               341460.000              00
15:14:05.295    56699491        300566          激智科技        0               0               0.0000                  1039.330                0.000                   00
15:14:05.295    56699491        300573          兴齐眼药        4700            4700            145.5621                -7342.030               676800.000              00
15:14:05.295    56699491        300601          康泰生物        2800            2800            144.7236                30454.020               435680.000              00
15:14:05.295    56699491        300617          安靠智电        900             900             -32.4660                60206.410               30987.000               00
15:14:05.295    56699491        300618          寒锐钴业        7600            7600            62.6572                 -738.470                475456.000              00
15:14:05.295    56699491        300624          万兴科技        8000            8000            67.5702                 13118.320               553680.000              00
15:14:05.295    56699491        300635          中达安          6000            6000            29.1755                 3026.840                178080.000              00
15:14:05.295    56699491        300653          正海生物        5600            5600            72.9486                 4319.910                412832.000              00
15:14:05.295    56699491        300676          华大基因        2500            2500            136.8476                3531.020                345650.000              00
15:14:05.295    56699491        300677          英科医疗        6100            6100            81.7422                 197565.870              696193.000              00
15:14:05.295    56699491        300723          一品红          5700            5700            41.6653                 -3906.100               233586.000              00
15:14:05.295    56699491        300731          科创新源        1300            1300            34.5881                 -244.550                44720.000               00
15:14:05.295    56699491        300750          宁德时代        0               7700            167.5924                -19961.120              1270500.000             00
