时间            资产账户        证券代码        证券名称        可用数量        库存数量        参考成本                参考盈亏                市值                交易板块
15:03:31.611    99173156        000090          天健集团        0               82400           6.9504                  -2503.320               570208.000              00
15:03:31.611    99173156        000100          TCL科技         99800           99800           5.7956                  33371.240               611774.000              00
15:03:31.611    99173156        000333          美的集团        10000           10000           58.8801                 -10301.300              578500.000              00
15:03:31.611    99173156        000513          丽珠集团        0               14300           45.9014                 4413.420                660803.000              00
15:03:31.611    99173156        000568          泸州老窖        6500            6500            89.7867                 671.460                 584285.000              00
15:03:31.611    99173156        000582          北部湾港        22600           22600           9.7379                  20162.590               240238.000              00
15:03:31.611    99173156        000625          长安汽车        28000           28000           11.4539                 1011.900                321720.000              00
15:03:31.611    99173156        000681          视觉中国        15700           15700           21.0532                 -6644.570               323891.000              00
15:03:31.611    99173156        000739          普洛药业        0               16500           21.8803                 1314.620                362340.000              00
15:03:31.611    99173156        000807          云铝股份        0               0               0.0000                  18294.330               0.000                   00
15:03:31.611    99173156        000823          超声电子        78900           78900           13.0237                 21014.850               1048581.000             00
15:03:31.611    99173156        000858          五粮液          6800            6800            156.2524                14331.620               1076848.000             00
15:03:31.611    99173156        000869          张裕Ａ          2100            2100            29.8507                 145.590                 62832.000               00
15:03:31.611    99173156        000902          新洋丰          39300           39300           9.0634                  -5637.430               350556.000              00
15:03:31.611    99173156        000915          山大华特        0               4200            32.7949                 21.550                  137760.000              00
15:03:31.611    99173156        000951          中国重汽        3300            3300            29.4838                 977.460                 98274.000               00
15:03:31.611    99173156        002007          华兰生物        11900           11900           46.5908                 12604.950               567035.000              00
15:03:31.611    99173156        002008          大族激光        12900           12900           34.4885                 -3850.960               441051.000              00
15:03:31.611    99173156        002080          中材科技        25300           25300           14.5933                 421.610                 369633.000              00
15:03:31.611    99173156        002120          韵达股份        0               100             27.9048                 1.520                   2792.000                00
15:03:31.611    99173156        002126          银轮股份        13200           13200           11.5122                 499.210                 152460.000              00
15:03:31.611    99173156        002183          怡亚通          0               0               0.0000                  27693.620               0.000                   00
15:03:31.611    99173156        002240          威华股份        0               0               0.0000                  8519.700                0.000                   00
15:03:31.611    99173156        002242          九阳股份        2300            2300            33.2780                 50.500                  76590.000               00
15:03:31.611    99173156        002262          恩华药业        24800           24800           16.2863                 -5364.510               398536.000              00
15:03:31.611    99173156        002281          光迅科技        0               0               0.0000                  3939.180                0.000                   00
15:03:31.611    99173156        002294          信立泰          43400           43400           24.3064                 -5485.170               1049412.000             00
15:03:31.611    99173156        002304          洋河股份        10000           10000           107.9455                -14554.870              1064900.000             00
15:03:31.611    99173156        002317          众生药业        0               74401           14.6040                 -6992.770               1079558.510             00
15:03:31.611    99173156        002352          顺丰控股        11700           11700           50.0732                 68992.160               654849.000              00
15:03:31.611    99173156        002353          杰瑞股份        19600           19600           29.1654                 35957.260               607600.000              00
15:03:31.611    99173156        002384          东山精密        20400           20400           27.6154                 20086.520               583440.000              00
15:03:31.611    99173156        002395          双象股份        0               0               0.0000                  -64.200                 0.000                   00
15:03:31.611    99173156        002465          海格通信        43400           43400           13.6890                 -23827.100              570276.000              00
15:03:31.611    99173156        002481          双塔食品        34200           34200           18.4484                 -37223.620              593712.000              00
15:03:31.611    99173156        002484          江海股份        113800          113800          9.4937                  4128.970                1084514.000             00
15:03:31.611    99173156        002497          雅化集团        0               0               0.0000                  15976.180               0.000                   00
15:03:31.611    99173156        002534          杭锅股份        39200           39200           7.8889                  -2307.360               306936.000              00
15:03:31.611    99173156        002594          比亚迪          0               0               0.0000                  13872.630               0.000                   00
15:03:31.611    99173156        002600          领益智造        54100           54100           10.3100                 12982.360               570755.000              00
15:03:31.611    99173156        002608          江苏国信        16400           16400           6.3910                  -835.710                103976.000              00
15:03:31.611    99173156        002623          亚玛顿          1700            1700            36.2082                 8537.090                70091.000               00
15:03:31.611    99173156        002643          万润股份        0               30800           16.5756                 5062.210                515592.000              00
15:03:31.611    99173156        002646          青青稞酒        3900            3900            10.0069                 -416.850                38610.000               00
15:03:31.611    99173156        002675          东诚药业        0               18400           20.5184                 2236.860                379776.000              00
15:03:31.611    99173156        002677          浙江美大        9700            9700            11.1250                 -630.170                107282.000              00
15:03:31.611    99173156        002683          宏大爆破        4000            4000            36.7275                 1929.980                148840.000              00
15:03:31.611    99173156        002734          利民股份        45020           45020           14.4299                 -18003.010              631630.600              00
15:03:31.611    99173156        002745          木林森          31400           31400           14.7082                 -1826.260               460010.000              00
15:03:31.611    99173156        002749          国光股份        14511           14511           13.3453                 -3268.810               190384.320              00
15:03:31.611    99173156        002773          康弘药业        0               23800           42.3686                 14551.600               1022924.000             00
15:03:31.611    99173156        002812          恩捷股份        6300            6300            60.8668                 -2184.530               381276.000              00
15:03:31.611    99173156        002821          凯莱英          2000            2000            215.9629                -525.800                431400.000              00
15:03:31.611    99173156        002867          周大生          13600           13600           21.7803                 -5852.470               290360.000              00
15:03:31.611    99173156        002918          蒙娜丽莎        19400           19400           31.3397                 -23079.240              584910.000              00
15:03:31.611    99173156        002938          鹏鼎控股        0               0               0.0000                  -8022.540               0.000                   00
15:03:31.611    99173156        300009          安科生物        70900           70900           15.8194                 43999.790               1165596.000             00
15:03:31.611    99173156        300010          立思辰          34500           34500           17.7412                 -6940.800               605130.000              00
15:03:31.611    99173156        300020          银江股份        42400           42400           10.9878                 -5419.730               460464.000              00
15:03:31.611    99173156        300045          华力创通        0               0               0.0000                  -50522.690              0.000                   00
15:03:31.611    99173156        300082          奥克股份        0               9100            6.7109                  -463.320                60606.000               00
15:03:31.611    99173156        300088          长信科技        0               0               0.0000                  20096.310               0.000                   00
15:03:31.611    99173156        300115          长盈精密        0               0               0.0000                  8768.430                0.000                   00
15:03:31.611    99173156        300118          东方日升        23000           23000           14.5583                 -10080.230              324760.000              00
15:03:31.611    99173156        300119          瑞普生物        7500            7500            19.4625                 8231.110                154200.000              00
15:03:31.611    99173156        300144          宋城演艺        200             200             19.3629                 -252.580                3620.000                00
15:03:31.611    99173156        300146          汤臣倍健        31100           31100           20.1632                 9851.950                636928.000              00
15:03:31.611    99173156        300149          量子生物        0               32500           17.0606                 -1968.250               552500.000              00
15:03:31.611    99173156        300244          迪安诊断        0               26600           34.0949                 3592.780                910518.000              00
15:03:31.611    99173156        300252          金信诺          79400           79400           9.6936                  -1871.420               767798.000              00
15:03:31.611    99173156        300257          开山股份        36700           36700           12.2235                 36938.580               485541.000              00
15:03:31.611    99173156        300259          新天科技        15400           15400           5.9132                  -973.670                90090.000               00
15:03:31.611    99173156        300274          阳光电源        8600            8600            12.7471                 -2813.450               106812.000              00
15:03:31.611    99173156        300357          我武生物        8300            17740           58.9365                 1126.760                1046660.000             00
15:03:31.611    99173156        300384          三联虹普        6300            6300            17.2974                 -46.380                 108927.000              00
15:03:31.611    99173156        300395          菲利华          12500           12500           27.6833                 12084.060               358125.000              00
15:03:31.611    99173156        300396          迪瑞医疗        0               500             25.9364                 -58.210                 12910.000               00
15:03:31.611    99173156        300406          九强生物        0               26000           23.3492                 -3358.220               603720.000              00
15:03:31.611    99173156        300441          鲍斯股份        9200            9200            9.9972                  1958.200                93932.000               00
15:03:31.611    99173156        300463          迈克生物        11400           11400           49.7814                 68954.590               636462.000              00
15:03:31.611    99173156        300470          中密控股        5800            5800            28.8595                 -229.060                167156.000              00
15:03:31.611    99173156        300482          万孚生物        0               6500            92.6370                 734.660                 602875.000              00
15:03:31.611    99173156        300502          新易盛          0               0               0.0000                  1933.470                0.000                   00
15:03:31.611    99173156        300526          中潜股份        100             100             124.3587                -258.870                12177.000               00
15:03:31.611    99173156        300601          康泰生物        0               7500            144.0045                17216.390               1097250.000             00
15:03:31.611    99173156        300618          寒锐钴业        0               7900            62.0895                 -865.330                489642.000              00
15:03:31.611    99173156        300655          晶瑞股份        0               0               0.0000                  -57314.990              0.000                   00
15:03:31.611    99173156        300659          中孚信息        10620           10620           56.1008                 29408.520               625199.400              00
15:03:31.611    99173156        300662          科锐国际        0               2700            41.5478                 113.980                 112293.000              00
15:03:31.611    99173156        300695          兆丰股份        0               200             75.5828                 101.440                 15218.000               00
15:03:31.611    99173156        300709          精研科技        260             260             88.1748                 497.950                 23423.400               00
15:03:31.611    99173156        300750          宁德时代        3700            3700            168.4566                -35174.470              588115.000              00
15:03:31.611    99173156        300753          爱朋医疗        1530            19510           39.8283                 -6404.420               770645.000              00
15:03:31.611    99173156        300755          华致酒行        16300           16300           33.3022                 -69636.420              473189.000              00
15:03:31.611    99173156        300759          康龙化成        0               5000            83.4610                 -954.970                416350.000              00
15:03:31.611    99173156        300760          迈瑞医疗        0               3900            278.3373                5470.450                1090986.000             00
15:03:31.611    99173156        511990          华宝添益        29              29              -3416.9662              101991.962              2899.942                10
15:03:31.611    99173156        600095          哈高科          0               0               0.0000                  -34194.540              0.000                   10
15:03:31.611    99173156        600120          浙江东方        29520           29520           6.6176                  -519.640                194832.000              10
15:03:31.611    99173156        600298          安琪酵母        13500           13500           44.7858                 3026.220                607635.000              10
15:03:31.611    99173156        600330          天通股份        0               0               0.0000                  1113.340                0.000                   10
15:03:31.611    99173156        600486          扬农化工        4300            4300            82.6514                 1455.990                356857.000              10
15:03:31.611    99173156        600519          贵州茅台        800             800             1402.8447               8124.220                1130400.000             10
15:03:31.611    99173156        600521          华海药业        0               33400           31.9774                 16118.460               1084164.000             10
15:03:31.611    99173156        600559          老白干酒        0               0               0.0000                  -12811.240              0.000                   10
15:03:31.611    99173156        600641          万业企业        0               0               0.0000                  -52470.120              0.000                   10
15:03:31.611    99173156        600645          中源协和        0               5000            24.0897                 451.520                 120900.000              10
15:03:31.611    99173156        600657          信达地产        79400           79400           4.0840                  5241.890                329510.000              10
15:03:31.611    99173156        600674          川投能源        47700           47700           9.2319                  1816.150                442179.000              10
15:03:31.611    99173156        600763          通策医疗        0               1100            144.0363                1555.060                159995.000              10
15:03:31.611    99173156        600809          山西汾酒        4300            4300            134.6652                -5483.470               573577.000              10
15:03:31.611    99173156        600867          通化东宝        0               0               0.0000                  -22381.590              0.000                   10
15:03:31.611    99173156        600872          中炬高新        9500            9500            51.3715                 35611.080               523640.000              10
15:03:31.611    99173156        600882          妙可蓝多        7400            10900           35.3774                 28041.030               413655.000              10
15:03:31.611    99173156        600926          杭州银行        58800           58800           8.9925                  2792.130                531552.000              10
15:03:31.611    99173156        601137          博威合金        39200           39200           14.8128                 -24805.710              555856.000              10
15:03:31.611    99173156        601318          中国平安        7600            7600            75.8979                 -18984.050              557840.000              10
15:03:31.611    99173156        601577          长沙银行        25800           25800           7.8852                  1414.410                204852.000              10
15:03:31.611    99173156        601888          中国国旅        0               8100            125.6263                27975.030               1045548.000             10
15:03:31.611    99173156        601999          出版传媒        67200           67200           6.7142                  -3643.610               447552.000              10
15:03:31.611    99173156        603016          新宏泰          9700            9700            21.3754                 10811.980               218153.000              10
15:03:31.611    99173156        603030          全筑股份        27300           27300           6.1761                  4748.320                173355.000              10
15:03:31.611    99173156        603055          台华新材        27500           27500           7.6081                  8026.390                217250.000              10
15:03:31.611    99173156        603058          永吉股份        17600           17600           8.1870                  -827.490                143264.000              10
15:03:31.611    99173156        603138          海量数据        46500           46500           21.7586                 8437.190                1020210.000             10
15:03:31.611    99173156        603187          海容冷链        10500           10500           37.3499                 -18478.660              373695.000              10
15:03:31.611    99173156        603260          合盛硅业        19300           19300           26.8994                 -11761.220              507397.000              10
15:03:31.611    99173156        603360          百傲化学        43800           43800           20.2365                 -27441.420              858918.000              10
15:03:31.611    99173156        603378          亚士创能        2900            2900            42.7669                 414.900                 124439.000              10
15:03:31.611    99173156        603385          惠达卫浴        0               0               0.0000                  -2010.770               0.000                   10
15:03:31.611    99173156        603393          新天然气        2100            2100            38.9023                 -4855.900               76839.000               10
15:03:31.611    99173156        603444          吉比特          0               500             442.8313                2219.350                223635.000              10
15:03:31.611    99173156        603486          科沃斯          3400            3400            28.5101                 -884.480                96050.000               10
15:03:31.611    99173156        603506          南都物业        8300            8300            29.1568                 9986.760                251988.000              10
15:03:31.611    99173156        603520          司太立          0               7600            78.6917                 9563.310                607620.000              10
15:03:31.611    99173156        603566          普莱柯          900             900             26.1234                 2309.980                25821.000               10
15:03:31.611    99173156        603588          高能环境        1200            1200            12.1021                 -2.470                  14520.000               10
15:03:31.611    99173156        603605          珀莱雅          1431            1431            170.0587                -1658.100               241695.900              10
15:03:31.611    99173156        603611          诺力股份        2800            2800            21.4808                 -1346.130               58800.000               10
15:03:31.611    99173156        603650          彤程新材        2100            2100            22.8939                 -974.200                47103.000               10
15:03:31.611    99173156        603659          璞泰来          4800            4800            98.8364                 -23406.730              451008.000              10
15:03:31.611    99173156        603680          今创集团        7900            7900            10.9787                 -68.660                 86663.000               10
15:03:31.611    99173156        603699          纽威股份        15800           15800           15.3554                 10501.160               253116.000              10
15:03:31.611    99173156        603730          岱美股份        6900            6900            32.3790                 75.990                  223491.000              10
15:03:31.611    99173156        603737          三棵树          900             900             126.8037                -5448.350               108675.000              10
15:03:31.611    99173156        603799          华友钴业        0               29200           38.3160                 5373.820                1124200.000             10
